List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|BJBR|Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|10|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BKDP|Bukit Darmo Property Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BKSL|Sentul City Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BKSW|Bank QNB Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BLTA|Berlian Laju Tanker Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BLTZ|Graha Layar Prima Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BLUE|Berkah Prima Perkasa Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BMAS|Bank Maspion Indonesia Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BMRI|Bank Mandiri (Persero) Tbk.|5|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BMSR|Bintang Mitra Semestaraya Tbk|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BMTR|Global Mediacom Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BNBA|Bank Bumi Arta Tbk.|10|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BNBR|Bakrie & Brothers Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BNGA|Bank CIMB Niaga Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BNII|Bank Maybank Indonesia Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BNLI|Bank Permata Tbk.|25|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BOGA|Bintang Oto Global Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BOLA|Bali Bintang Sejahtera Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BOLT|Garuda Metalindo Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BOSS|Borneo Olah Sarana Sukses Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BPFI|Batavia Prosperindo Finance Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BPII|Batavia Prosperindo Internasional Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BPTR|Batavia Prosperindo Trans Tbk.|35|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BRAM|Indo Kordsa Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BRIS|Bank BRIsyariah Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BRMS|Bumi Resources Minerals Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BRNA|Berlina Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BRPT|Barito Pacific Tbk.|40|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BSDE|Bumi Serpong Damai Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BSIM|Bank Sinarmas Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BSSR|Baramulti Suksessarana Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|BSWD|Bank Of India Indonesia Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
